expression,level
の,N5
に,N5
て,N5
は,N5
が,N5
た,N5
を,N5
で,N5
し,N5
と,N5
な,N5
ない,N5
も,N5
だ,N5
か,N5
ん,N5
から,N5
です,N5
する,N5
よ,N5
ます,N5
さ,N5
こと,N5
いる,N5
れ,N5
ね,N5
てる,N5
ある,N5
う,N5
い,N5
人,N5
1,N5
や,N5
2,N5
日,N5
いい,N5
なっ,N5
まし,N5
この,N5
そう,N5
って,N5
たら,N5
ば,N5
お,N5
けど,N5
これ,N5
よう,N5
3,N5
じゃ,N5
年,N5
その,N5
たい,N5
だけ,N5
まで,N5
的,N5
なる,N5
なら,N5
者,N5
月,N5
だっ,N5
見,N5
という,N5
中,N5
それ,N5
でも,N5
何,N5
れる,N5
だろ,N5
なく,N5
私,N5
ため,N5
わ,N5
時,N5
あり,N5
もの,N5
4,N5
へ,N5
一,N5
あっ,N5
さん,N5
ので,N5
今,N5
方,N5
き,N5
せ,N5
として,N5
5,N5
日本,N5
でき,N5
ませ,N5
やっ,N5
など,N5
思っ,N5
自分,N5
なかっ,N5
られ,N5
ー,N5
より,N5
とか,N5
俺,N5
前,N5
気,N5
時間,N5
どう,N5
でしょ,N5
また,N5
もう,N5
目,N5
言っ,N5
え,N5
できる,N5
なり,N5
話,N5
くれ,N5
事,N5
出,N5
ず,N5
思う,N5
8,N5
かも,N5
分,N5
家,N5
6,N5
たり,N5
ご,N5
み,N5
円,N5
7,N5
後,N5
のに,N5
みたい,N5
ください,N5
たち,N5
二,N5
好き,N5
良い,N5
ここ,N5
ぞ,N5
大,N5
性,N5
9,N5
上,N5
回,N5
考え,N5
感じ,N5
数,N5
必要,N5
行っ,N5
♪,N5
そんな,N5
なんて,N5
ら,N5
万,N5
来,N5
ちょっと,N5
世界,N5
他,N5
本,N5
誰,N5
ありがとう,N5
あれ,N5
つ,N5
でし,N5
よく,N5
化,N5
第,N5
ああ,N5
しか,N5
ところ,N5
仕事,N5
言う,N5
市,N5
県,N5
0,N5
あなた,N5
おり,N5
こんな,N5
について,N5
られる,N5
同じ,N5
問題,N5
a,N5
w,N5
まだ,N5
言わ,N5
とき,N5
度,N5
系,N5
手,N5
くる,N5
みんな,N5
ゲーム,N5
そして,N5
思い,N5
情報,N5
くらい,N5
しよ,N5
三,N5
関係,N5
くれる,N5
たく,N5
ながら,N5
会,N5
僕,N5
力,N5
国,N5
しかし,N5
今日,N5
持っ,N5
本当に,N5
m,N5
ちゃん,N5
以上,N5
可能,N5
場合,N5
多い,N5
子,N5
車,N5
金,N5
あ,N5
あの,N5
どこ,N5
なん,N5
男,N5
間,N5
せる,N5
なんか,N5
出来,N5
所,N5
すぎ,N5
人間,N5
使っ,N5
名,N5
女,N5
知ら,N5
s,N5
あと,N5
いう,N5
いく,N5
しれ,N5
やる,N5
位,N5
様,N5
次,N5
行く,N5
しまっ,N5
