original,yasashii
初診(1),初めて診察を受ける
再診,2回目以降、診察を受ける
精密検査(1),詳しい検査
悪化する(1),もっと悪くなる
服用する,飲む
盗難,物を盗まれる
重傷,大きなけがをする
出血(1),血が出る
骨折(1),骨が折れている
救助(1),助ける
応急手当、応急措置,すぐに行う手当て
救急車(1),けがをした人を乗せて病院に行く車
治療,病気を治す　手当する
呼吸(1),息
通報する(1),連絡する
現在地,今いる所
火災(1),火事・燃える
火の元,ガスの元栓や電気のコンセント
引火する(1),火がつく
出火,火が出る
炎上する(1),燃える
消火する,火を消す
消防車(1),火を消す車
地震(1),地面が揺れる
余震(1),大きな地震のあとにくる地震
揺れ(1),家や道が大きく動く
震度(3),地震の大きさ
震源地(1),地震の中心
津波(1),高い波
落下,物が落ちる
倒壊する(1),建物が壊れる
転倒,物や人が倒れる
避難,安全なところに逃げる
高台(1),山の上やビルの屋上などの高い場所
速やかに、ただちに,すぐに、急いで
死者(1),死んだ人
死亡する(1),死ぬ
迂回する(1),違う道を使う
運転を見合わせる、運休,（電車などが）動かない
欠航,（船や飛行機が）動いていない
常備薬,いつも使っている薬
現金,お金
食料(1),食べ物
備える(1),用意する
台風(2),強い雨が降り強い風が吹く天気
大雨(1),雨がたくさん降る
豪雨,大雨よりたくさん雨が降る
洪水(1),大雨や豪雨により川の水があふれる
浸水(1),家に水が入る
土砂崩れ(1),山から土や石が一度にたくさん落ちてくる
警戒する(1),気をつける
災害(1),地震、火事、津波など大変なことにあう
停電(1),電気が停まる
断水(1),水がでなくなる
不通(1),電話・道路・鉄道が使えない
行方不明(1),人がどこにいるかわからない
安否(1),人が大丈夫かどうか（生きているか死んでいるか）
犠牲者(1),死んだ人やけがをした人
被害者,災害などの被害にあった人
救援,助ける
緊急,すぐに
警報,つよい　注意の　お知らせ<br>大きな　災害が　おこるかもしれません
火災(2),火事
避難する(1),にげる
避難所(1),にげる　ところ（家の　かわりに　住むところ）
避難場所,にげる　ところ
懐中電灯(1),手に　もつ　小さな　電気（ライト）
救急車(2),病気や　けがをした人を　はこぶ　車
救助する(1),たすける
行方不明(2),どこに　いるか　わからない
情報(1),お知らせ
断水(2),水が　でない
停電(2),電気が　つかない
非常口,にげる　出口
備える(2),準備する
負傷者(1),けがをした人
保護する(1),まもる
はぐれる,わかれる
連絡先(1),電話番号、メール、住所など
デマ(1),うその　話
気象,天気
洪水(2),川から　町に　水が　くる
浸水(2),家の　中に　水が　入る
台風(1),とても　強い　風と　雨
大雨(2),たくさんの　雨
注意報,注意の　お知らせ<br>災害が　おこるかもしれません
土砂崩れ(2),山が　こわれる（土や　石が　落ちてくる）
暴風雨,とても　強い　風と　雨
予報,これから　起きることの　お知らせ
高台(2),高い　ところ
地震(2),地面が　ゆれる
津波(2),地震の　あとに　海の　水が　たくさんくる
