original,level,yasashii
危ない,４,危(あぶ)ない
安心,３,安心(あんしん)
家,４,家(いえ)
痛い,４,痛(いた)い
海,４,海(うみ)
収まる,１,終(お)わる
襲う,１,来(く)る
落ちる,３,落(お)ちる
音,３,音(おと)
海岸,３,海岸(かいがん)
懐中,級外,手(て)に 持(も)つ 電気(でんき) ※１
火事,３,火事(かじ)
ガス,３,ガス
片付ける,３,片付(かたづ)ける
傾く,２,倒(たお)れるかも しれません
学校,４,学校(がっこう)
壁,３,壁(かべ)
ガラス,３,ガラス
瓦,２,上(うえ)から 物(もの)が 落(お)ちてくるかも しれません ※２
かわり,３,かわり ※３
危険,３,危険(きけん)
傷,２,ケガ
救急車,級外,救急車(きゅうきゅうしゃ)＜病気(びょうき)や ケガをした人(ひと)を 助(たす)ける 車(くるま)＞
給水,級外,水(みず)を もらうこと 水(みず)を もらう ところ ※４
崩れる,２,壊(こわ)れて 落(お)ちる
汲む,２,水(みず)を 入(い)れる
車,４,車(くるま)
グランド,２,外(そと)で 運動(うんどう)する 広(ひろ)い ところ
けが,３,ケガ
煙,２,火事(かじ)に 気(き)をつけて ください ※５
公園,４,公園(こうえん)
校庭,２,外(そと)で 運動(うんどう)する 広(ひろ)い ところ
ご飯,４,ご飯(はん)
怖い,３,怖(こわ)い
怖さ,３,怖(こわ)さ
壊す,３,壊(こわ)す
壊れる,３,壊(こわ)れる
探す,３,探(さが)す
叫ぶ,２,大(おお)きい 声(こえ)で 言(い)う
地震,３,地震(じしん)
沈む,２,道(みち)が 壊(こわ)れる
下敷き,級外,ケガをした人(ひと) ※６
消火器,級外,火(ひ)を 消(け)す 道具(どうぐ)
小学校,３,小学校(しょうがっこう)
地面,２,道(みち)
地割れ,級外,道(みち)が 割(わ)れている
心臓,２,胸(むね) ※７
震度,級外,震度(しんど)＜地震(じしん)の 大(おお)きさ＞
水道,３,水道(すいどう)
スピーカー,２,放送(ほうそう)を する 機械(きかい)
生活,３,生活(せいかつ)
体育館,級外,体育館(たいいくかん) ※８
大震災,級外,大(おお)きい 地震(じしん)
倒れる,３,倒(たお)れる
助かる,２,生(い)きている
助ける,２,助(たす)ける ※７
食べる,４,食(た)べる
注意,３,注意(ちゅうい)
中学校,３,中学校(ちゅうがっこう)
津波,１,津波(つなみ)＜とても 高(たか)い 波(なみ)＞ ※７
潰れる,２,壊(こわ)れる
テレビ,３,テレビ
電気,４,電気(でんき)
天井,２,上(うえ)から 物(もの)が 落(お)ちてくるかも しれません ※２
電灯,３,電灯(でんとう)
トイレ,４,トイレ
灯,３,電灯(でんとう) ※９
通る,３,通(とお)る
波,２,波(なみ) ※７
逃げる,３,逃(に)げる
運ぶ,３,運(はこ)ぶ
破片,２,小(ちい)さく 割(わ)れた ○○（名詞(めいし)） ※10
火,３,火(ひ)
被害,２,壊(こわ)れる
避難,１,逃(に)げる
ひび,１,割(わ)れている
ひび割れ,級外,割(わ)れている
ひび割れる,級外,割(わ)れる
病院,４,病院(びょういん)
病気,４,病気(びょうき)
ビル,３,ビル
無事,２,生(い)きている
布団,３,布団(ふとん)
船,３,船(ふね)
震える,２,体(からだ)が 小(ちい)さく 揺(ゆ)れる
風呂,４,風呂(ふろ)
放送,３,放送(ほうそう)
ボランティア,級外,ボランティア＜手伝(てつだ)う人(ひと)＞ ボランティア＜手伝(てつだ)うこと＞
マグニチュード,級外,マグニチュード＜地震(じしん)の 大(おお)きさ＞
水,４,水(みず)
燃える,２,焼(や)ける
潜る,２,下(した)へ 入(はい)る
もらう,３,もらう
盛り上がる,１,道(みち)が 壊(こわ)れる
焼ける,３,焼(や)ける
揺れ,級外,地震(じしん)
揺れる,３,揺(ゆ)れる
余震,級外,余震(よしん)＜あとから 来(く)る 地震(じしん)＞
割れ,２,割(わ)れている
割れる,３,割(わ)れる
