original,level,yasashii
雨,N5,雨(あめ)
雨雲,級外,雨(あめ)が 降(ふ)ってくる 雲(くも)
遺体,級外,死(し)んだ人(ひと)の 体(からだ)
受け付ける,N4,受(う)け付(つ)ける
動く,N4,動(うご)く
雨量,級外,雨(あめ)が 降(ふ)ってくる 量(りょう)
運休,級外,電車(でんしゃ)や バスを 使(つか)うことが できないこと
影響,N2N3,影響(えいきょう)＊
起きる,N5,起(お)きる
大雨,級外,強(つよ)い 雨(あめ)
大雨特別警報,級外 N4 級外,強(つよ)い 雨(あめ)のとき 特別(とくべつ)に注意(ちゅうい)すること
家屋,N2N3,住(す)む ところ / 家(いえ)
河川,N1,川(かわ)
確認,N2N3,確認(かくにん)＊
活動,N2N3,活動(かつどう)＊
雷,N2N3,雷(かみなり)＊
がれき,級外,建物(たてもの)が 壊(こわ)れた ゴミ
冠水,級外,水(みず)が 道(みち)に たくさんあること
危険,N4,危険(きけん)
記録,N2N3,記録(きろく)＊
救助,N2N3,助(たす)ける＊
崩れる,N2N3,壊(こわ)れて 落(お)ちる
車,N5,車(くるま)
警戒,N1,注意(ちゅうい)すること
決壊,級外,壊(こわ)れる
建設,N2N3,建物(たてもの)を 建(た)てること
降水,N1,雨(あめ)が 降(ふ)ること
洪水,N1,川(かわ)の 水(みず)が たくさん 外(そと)に 流(なが)れること
豪雨,級外,強(つよ)い 雨(あめ)
災害,N1,(地震(じしん) や 津波(つなみ) で)危(あぶ)ないこと
支援,級外,手伝(てつだ)うこと / 困(こま)っている人(ひと)を 助(たす)ける＊こと
死者,級外,死(し)んだ人(ひと)
事業,N1,大(おお)きな 仕事(しごと)
死亡,N2N3,死(し)ぬ
自衛,N2N3,自分(じぶん) の 体(からだ)を 安全(あんぜん)にする
自宅,N2N3,自分(じぶん) の 家(いえ)
住民,N2N3,住(す)む人(ひと)、住(す)んでいる人(ひと)
消防,N2N3,火(ひ)を 消(け)すこと
情報,N2N3,情報(じょうほう)＊
状況,N2N3,起(お)きていること
浸水,級外,水(みず)が (建物(たてもの)や道路(どうろ) に) 入(はい)ってくること
進め,N4,進(すす)め
水位,級外,水(みず)の 高(たか)さ
水害,級外,水(みず)で 困(こま)ること / 怪我(けが)をすること / 壊(こわ)れること
水没,級外,（体(からだ)やものが) 水(みず)の 中(なか)に 入(はい)ること
整備,N2N3,使(つか)えるように 準備(じゅんび)すること
全壊,級外,すっかり 壊(こわ)れてしまうこと / 全部(ぜんぶ)壊(こわ)れてしまうこと
相談,N4,相談(そうだん)
増水,級外,水(みず)が たくさん 増(ふ)えること
ダム,N2N3,水(みず)を たくさん 集(あつ)める ところ
出る,N5,出(で)る
対応,N1,(地震(じしん) や 津波(つなみ) が) 起(お)きた 後(あと)に 動(うご)くこと
対策,N1,(地震(じしん) や 津波(つなみ) が) 起(お)きる 前(まえ)に 動(うご)くこと
台風,N4,台風(たいふう)
濁流,級外,たくさんの 汚(きたな)い 水(みず)
中止,N4,中止(ちゅうし)
注意,N4,注意(ちゅうい)
通行止め,級外,車(くるま)や 人(ひと)が 通(とお)ることが できないこと / ところ
通信,N2N3,連絡(れんらく)すること / 情報(じょうほう)を伝(つた)えること
堤防,N1,水(みず)が 入(はい)らないようにする 壁(かべ)
電話,N5,電話(でんわ)
土砂,N2N3,山(やま)から 落(お)ちてくる 石(いし)や 砂(すな)
土砂災害,N1,山(やま)から 石(いし)や 砂(すな)が 落(お)ちてくること
土砂崩れ,級外,山(やま)から 石(いし)や 砂(すな)が 落(お)ちてくること
道路,N2N3,道(みち)
流れる,N2N3,流(なが)れる＊
流れ込む,級外,流(なが)れてくる
発生,N1,(地震(じしん) などが) 起(お)きること
発表,N2N3,知(し)らせること
氾濫,N1,川(かわ)の 水(みず)が たくさん 流(なが)れること
被害,N2N3,壊(こわ)れること / 困(こま)ること / 怪我(けが)をすること
被災,N1,壊(こわ)れること / 困(こま)ること / 怪我(けが)をすること
被災地,級外,(地震(じしん) や 津波(つなみ)) があったところ
避難,N1,逃(に)げる
避難勧告,N1,逃(に)げるための 大(おお)きな 注意(ちゅうい)
避難指示,N1 N2N3,逃(に)げるための 注意(ちゅうい)
避難所,N1 N5,みんなが 逃(に)げる ところ
必要,N4,必要(ひつよう)
増える,N4,増(ふ)える
復旧,N1,(電気(でんき) や 水道(すいどう)を) 使(つか)うことができるようになること
降る,N5,降(ふ)る
放水,N1 級外,たくさんの 水(みず)を 流(なが)すこと
暴風域,級外,強(つよ)い 風(かぜ)が 吹(ふ)く ところ
防災,N2N3,危(あぶ)ないときのために 準備(じゅんび)すること
ボート,級外,小(ちい)さい 船(ふね)
ボランティア,級外,ボランティア＊
巻き込み,級外,洪水(こうずい)や 津波(つなみ) の 中(なか)に 入(はい)ること
水,N5,水(みず)
水かさ,級外,水(みず)の 多(おお)さ
身元,級外,誰(だれ)か わかること
ミリ,N2N3,ミリ＊
無料,N2N3,お金(かね)は いりません
役所,N2N3,役所(やくしょ)＊
山,N5,山(やま)
優先,N1,先(さき)にすること
行方不明者,N1 N2N3,居(い)るところが わからない人(ひと)
要請,N1,お願(ねが)い
呼び掛け,N2N3,声(こえ)を かけて 知(し)らせること
流域,N2N3,川(かわ)の 通(とお)る ところ
臨時,N2N3,急(きゅう)なこと / 長(なが)く 続(つづ)かないこと
